연도,시도,행정구역,학제,학교수,학생수,학생_남,학생_여,교직원수,다문화학생수,다문화_남,다문화_여
2021,경기,수원시,유치원,183,15710,8052,7658,1315,0,0,0
2021,경기,수원시,초등학교,99,65671,33885,31786,4073,2292,1156,1136
2021,경기,수원시,중학교,57,33954,17524,16430,2501,608,291,317
2021,경기,수원시,고등학교,44,35247,18734,16513,3497,277,109,168
2021,경기,수원시,  (일반고),31,26527,13785,12742,2525,155,49,106
2021,경기,수원시,  (특목고),4,1743,970,773,247,16,7,9
2021,경기,수원시,  (특성화고),8,6233,3235,2998,651,99,46,53
2021,경기,수원시,  (자율고),1,744,744,0,74,7,7,0
2021,경기,수원시,특수학교,3,456,317,139,186,0,0,0
2021,경기,성남시,유치원,122,8306,4196,4110,789,0,0,0
2021,경기,성남시,초등학교,72,45058,23198,21860,2893,1231,643,588
2021,경기,성남시,중학교,45,23835,12290,11545,1922,359,159,200
2021,경기,성남시,고등학교,36,25622,13025,12597,2550,213,110,103
2021,경기,성남시,  (일반고),27,19747,10464,9283,1899,110,53,57
2021,경기,성남시,  (특목고),2,1590,308,1282,107,8,3,5
2021,경기,성남시,  (특성화고),7,4285,2253,2032,544,95,54,41
2021,경기,성남시,특수학교,2,380,267,113,166,0,0,0
2021,경기,성남시,각종학교,2,480,86,394,35,4,0,4
2021,경기,부천시,유치원,123,8832,4418,4414,765,0,0,0
2021,경기,부천시,초등학교,64,37862,19356,18506,2415,2200,1138,1062
2021,경기,부천시,중학교,32,19687,10093,9594,1547,623,330,293
2021,경기,부천시,고등학교,28,18773,9455,9318,1960,219,106,113
2021,경기,부천시,  (일반고),23,15542,7903,7639,1567,149,69,80
2021,경기,부천시,  (특목고),1,691,128,563,46,0,0,0
2021,경기,부천시,  (특성화고),4,2540,1424,1116,347,70,37,33
2021,경기,부천시,특수학교,2,350,231,119,126,0,0,0
2021,경기,안양시,유치원,75,5171,2601,2570,479,0,0,0
2021,경기,안양시,초등학교,41,26687,13772,12915,1646,673,342,331
2021,경기,안양시,중학교,24,14955,7808,7147,1128,160,74,86
2021,경기,안양시,고등학교,21,16418,8321,8097,1580,101,41,60
2021,경기,안양시,  (일반고),13,11687,6304,5383,1062,31,14,17
2021,경기,안양시,  (특목고),3,1788,537,1251,138,10,2,8
2021,경기,안양시,  (특성화고),5,2943,1480,1463,380,60,25,35
2021,경기,안양시,특수학교,1,185,124,61,78,0,0,0
2021,경기,과천시,유치원,6,451,227,224,38,0,0,0
2021,경기,과천시,초등학교,4,3543,1845,1698,206,20,15,5
2021,경기,과천시,중학교,2,1819,960,859,134,3,2,1
2021,경기,과천시,고등학교,4,2126,1024,1102,224,6,5,1
2021,경기,과천시,  (일반고),3,1454,837,617,166,2,2,0
2021,경기,과천시,  (특목고),1,672,187,485,58,4,3,1
2021,경기,안산시,유치원,93,6567,3291,3276,547,0,0,0
2021,경기,안산시,초등학교,55,32594,16636,15958,2027,3762,1920,1842
2021,경기,안산시,중학교,30,17937,9267,8670,1363,1195,620,575
2021,경기,안산시,고등학교,24,19288,9949,9339,1940,582,263,319
2021,경기,안산시,  (일반고),17,13723,7034,6689,1383,306,144,162
2021,경기,안산시,  (특성화고),6,4527,2407,2120,478,274,117,157
2021,경기,안산시,  (자율고),1,1038,508,530,79,2,2,0
2021,경기,안산시,특수학교,2,287,197,90,104,0,0,0
2021,경기,용인시,유치원,163,13828,6959,6869,1062,0,0,0
2021,경기,용인시,초등학교,103,68048,34743,33305,4149,1131,583,548
2021,경기,용인시,중학교,50,33953,17489,16464,2440,315,147,168
2021,경기,용인시,고등학교,32,27414,14156,13258,2251,114,49,65
2021,경기,용인시,  (일반고),29,25482,13297,12185,2088,99,44,55
