년,월,등록외국인 수
2021,01,1129313
2021,02,1115608
2021,03,1106502
2021,04,1104215
2021,05,1100845
2021,06,1097247
2021,07,1092738
2021,08,1087939
2021,09,1091369
2021,10,1097697
2021,11,1102020
2021,12,1093891
2022,01,1090550
2022,02,1086490
2022,03,1089794
2022,04,1099427
2022,05,1105204
2022,06,1109700
2022,07,1116395
2022,08,1124652
2022,09,1143696
2022,10,1158359
2022,11,1180632
2022,12,1189585
2023,01,1195251
2023,02,1198393
2023,03,1221685
2023,04,1237616
2023,05,1255608
2023,06,1270393
2023,07,1282639
2023,08,1291480
