년,월,국적지역,등록외국인 수
2022,01,중국,169770
2022,01,한국계중국인,251893
2022,01,베트남,178178
2022,01,우즈베키스탄,44026
2022,01,필리핀,38001
2022,01,캄보디아,40276
2022,01,네팔,35536
2022,01,인도네시아,30681
2022,01,태국,31577
2022,01,미얀마,24333
2022,01,미국,29082
2022,01,몽골,24060
2022,01,일본,24564
2022,01,스리랑카,19016
2022,01,타이완,17572
2022,01,카자흐스탄,14133
2022,01,방글라데시,13266
2022,01,러시아연방,13933
2022,01,파키스탄,10187
2022,01,인도,10039
2022,01,키르기즈,4265
2022,01,영국,4651
2022,01,캐나다,4203
2022,01,말레이시아,3321
2022,01,프랑스,3145
2022,01,우크라이나,2500
2022,01,이집트,2502
2022,01,남아프리카공화국,2477
2022,01,나이지리아,2421
2022,01,티모르민주공화국,2239
2022,01,독일,2199
2022,01,홍콩,1868
2022,01,오스트레일리아,1656
2022,01,시리아,1518
2022,01,터키,1497
2022,01,가나,1094
2022,01,모로코,1280
2022,01,이란,1163
2022,01,라오스,1148
2022,01,예멘공화국,1062
2022,01,사우디아라비아,810
2022,01,에티오피아,1000
2022,01,이탈리아,830
2022,01,카메룬,837
2022,01,브라질,976
2022,01,뉴질랜드,672
2022,01,스페인,848
2022,01,싱가포르,658
2022,01,네덜란드,474
2022,01,아일랜드,608
2022,01,멕시코,650
2022,01,아랍에미리트연합,301
2022,01,타지키스탄,604
2022,01,라이베리아,469
2022,01,우간다,470
2022,01,알제리,421
2022,01,스웨덴,411
2022,01,리비아,515
2022,01,폴란드,422
2022,01,콜롬비아,439
2022,01,케냐,373
2022,01,세네갈,303
2022,01,페루,398
2022,01,아프가니스탄,777
2022,01,벨기에,357
2022,01,이라크,383
2022,01,요르단,408
2022,01,투르크메니스탄,242
2022,01,튀니지,273
2022,01,노르웨이,239
2022,01,기니,264
2022,01,수단,258
2022,01,탄자니아,280
2022,01,스위스,297
2022,01,르완다,255
2022,01,에콰도르,213
2022,01,덴마크,207
2022,01,벨로루시,221
2022,01,콩고민주공화국,240
2022,01,그리스,211
2022,01,말리,201
2022,01,오스트리아,184
2022,01,루마니아,225
2022,01,아제르바이잔,216
2022,01,핀란드,176
2022,01,칠레,186
2022,01,헝가리,162
2022,01,베네수엘라,147
2022,01,코트디부아르,166
2022,01,이스라엘,171
2022,01,앙골라,136
2022,01,포르투갈,139
2022,01,감비아,123
2022,01,체코,114
2022,01,불가리아,128
2022,01,아르헨티나,156
2022,01,무국적,100
2022,01,부룬디,132
2022,01,마카오,79
2022,01,짐바브웨,93
2022,01,잠비아,86
2022,01,리투아니아,89
2022,01,쿠웨이트,50
2022,01,파라과이,79
2022,01,과테말라,67
2022,01,시에라리온,76
2022,01,볼리비아,57
2022,01,도미니카공화국,61
2022,01,브루나이,56
2022,01,가봉,72
2022,01,피지,42
2022,01,아르메니아,68
2022,01,크로아티아,71
2022,01,엘살바도르,50
2022,01,파나마,69
2022,01,모잠비크,57
2022,01,팔레스타인,57
2022,01,조지아,73
2022,01,코스타리카,63
2022,01,슬로바크,65
2022,01,미등록국가,37
2022,01,토고,43
2022,01,영국외지민,67
2022,01,세르비아,62
2022,01,온두라스,41
2022,01,부르키나파소,43
2022,01,자메이카,36
2022,01,몰도바,43
2022,01,라트비아,63
2022,01,쿠바,33
2022,01,슬로베니아,39
2022,01,오만,32
2022,01,레바논,33
2022,01,에스토니아,36
2022,01,부탄,36
2022,01,아이티,32
2022,01,마다가스카르,28
2022,01,니카라과,35
2022,01,베냉,14
2022,01,우루과이,29
2022,01,콩고,21
2022,01,국제연합,34
2022,01,보츠와나,17
2022,01,말라위,23
2022,01,카타르,37
2022,01,알바니아,24
2022,01,모리셔스,10
2022,01,트리니다드토바고,19
2022,01,키리바시,1
2022,01,룩셈부르크,17
2022,01,기니비사우,20
2022,01,바레인,7
2022,01,키프로스,19
2022,01,에스와티니,12
2022,01,소말리아,18
2022,01,남수단공화국,27
2022,01,차드,12
2022,01,에리트레아,12
2022,01,아이슬란드,9
2022,01,세인트크리스토퍼네비스,9
2022,01,모리타니,9
2022,01,솔로몬군도,3
2022,01,마케도니아,12
2022,01,중앙아프리카공화국,6
2022,01,보스니아헤르체고비나,8
2022,01,몰타,7
2022,01,니제르,7
2022,01,적도기니,8
2022,01,바하마,4
2022,01,몬테네그로,9
2022,01,코소보,2
