년,월,시도,등록외국인 수
2022,01,경기도,359631
2022,01,서울특별시,225971
2022,01,충청남도,62128
2022,01,인천광역시,66484
2022,01,경상남도,62767
2022,01,경상북도,50870
2022,01,부산광역시,39243
2022,01,충청북도,35830
2022,01,전라남도,32489
2022,01,전라북도,30202
2022,01,대구광역시,27232
2022,01,광주광역시,20801
2022,01,제주특별자치도,20578
2022,01,대전광역시,17461
2022,01,강원도,17232
2022,01,울산광역시,16756
2022,01,세종특별자치시,4875
2022,02,경기도,358567
2022,02,서울특별시,224484
2022,02,충청남도,61804
2022,02,인천광역시,66629
2022,02,경상남도,62691
2022,02,경상북도,50812
2022,02,부산광역시,38883
2022,02,충청북도,35723
2022,02,전라남도,32335
2022,02,전라북도,30038
2022,02,대구광역시,26998
2022,02,광주광역시,20686
2022,02,제주특별자치도,20575
2022,02,대전광역시,17351
2022,02,강원도,17191
2022,02,울산광역시,16829
2022,02,세종특별자치시,4894
2022,03,경기도,358471
2022,03,서울특별시,225839
2022,03,충청남도,61919
2022,03,인천광역시,66672
2022,03,경상남도,62550
2022,03,경상북도,50771
2022,03,부산광역시,39616
2022,03,충청북도,35790
2022,03,전라남도,32368
2022,03,전라북도,30161
2022,03,대구광역시,27290
2022,03,광주광역시,20740
2022,03,제주특별자치도,20623
2022,03,대전광역시,17900
2022,03,강원도,17344
2022,03,울산광역시,16846
2022,03,세종특별자치시,4894
2022,04,경기도,359927
2022,04,서울특별시,230756
2022,04,충청남도,62348
2022,04,인천광역시,66992
2022,04,경상남도,62550
2022,04,경상북도,51175
2022,04,부산광역시,39787
2022,04,충청북도,35900
2022,04,전라남도,32581
2022,04,전라북도,30763
2022,04,대구광역시,27462
2022,04,광주광역시,20756
2022,04,제주특별자치도,20643
2022,04,대전광역시,18461
2022,04,강원도,17470
2022,04,울산광역시,16977
2022,04,세종특별자치시,4879
2022,05,경기도,361214
2022,05,서울특별시,231527
2022,05,충청남도,62784
2022,05,인천광역시,67415
2022,05,경상남도,62783
2022,05,경상북도,51482
2022,05,부산광역시,39894
2022,05,충청북도,36202
2022,05,전라남도,32973
2022,05,전라북도,31196
2022,05,대구광역시,27622
2022,05,광주광역시,20898
2022,05,제주특별자치도,20669
2022,05,대전광역시,18655
2022,05,강원도,17892
2022,05,울산광역시,17069
2022,05,세종특별자치시,4929
2022,06,경기도,361978
2022,06,서울특별시,230610
2022,06,충청남도,63508
2022,06,인천광역시,67664
2022,06,경상남도,63220
2022,06,경상북도,51999
2022,06,부산광역시,40110
2022,06,충청북도,36690
2022,06,전라남도,33344
2022,06,전라북도,31350
2022,06,대구광역시,27787
2022,06,광주광역시,21033
2022,06,제주특별자치도,20686
2022,06,대전광역시,18758
2022,06,강원도,18927
2022,06,울산광역시,17104
2022,06,세종특별자치시,4932
2022,07,경기도,363061
2022,07,서울특별시,230042
2022,07,충청남도,64236
2022,07,인천광역시,67999
2022,07,경상남도,63963
2022,07,경상북도,52466
2022,07,부산광역시,40126
2022,07,충청북도,37068
2022,07,전라남도,34342
2022,07,전라북도,32204
2022,07,대구광역시,27953
2022,07,광주광역시,21291
2022,07,제주특별자치도,20812
2022,07,대전광역시,18930
2022,07,강원도,19763
2022,07,울산광역시,17181
2022,07,세종특별자치시,4958
2022,08,경기도,365540
2022,08,서울특별시,228788
2022,08,충청남도,65162
2022,08,인천광역시,68601
2022,08,경상남도,64956
2022,08,경상북도,53323
2022,08,부산광역시,40129
2022,08,충청북도,37852
2022,08,전라남도,35128
2022,08,전라북도,32613
2022,08,대구광역시,28127
2022,08,광주광역시,21424
2022,08,제주특별자치도,21067
2022,08,대전광역시,19038
2022,08,강원도,20495
2022,08,울산광역시,17410
2022,08,세종특별자치시,4999
2022,09,경기도,369028
2022,09,서울특별시,231358
2022,09,충청남도,67030
2022,09,인천광역시,69579
2022,09,경상남도,66165
2022,09,경상북도,54248
2022,09,부산광역시,41409
2022,09,충청북도,38781
2022,09,전라남도,36029
2022,09,전라북도,33106
2022,09,대구광역시,29071
2022,09,광주광역시,21949
2022,09,제주특별자치도,21407
2022,09,대전광역시,20299
2022,09,강원도,21284
2022,09,울산광역시,17716
2022,09,세종특별자치시,5237
2022,10,경기도,372477
2022,10,서울특별시,235528
2022,10,충청남도,68285
2022,10,인천광역시,70241
2022,10,경상남도,67503
2022,10,경상북도,55350
2022,10,부산광역시,41712
2022,10,충청북도,39589
2022,10,전라남도,37009
2022,10,전라북도,33618
2022,10,대구광역시,28991
2022,10,광주광역시,22041
2022,10,제주특별자치도,21530
2022,10,강원도,20728
2022,10,대전광역시,20544
2022,10,울산광역시,17916
2022,10,세종특별자치시,5297
2022,11,경기도,379032
2022,11,서울특별시,240503
2022,11,충청남도,70078
2022,11,인천광역시,71226
2022,11,경상남도,69119
2022,11,경상북도,56418
2022,11,부산광역시,42422
2022,11,충청북도,40678
2022,11,전라남도,38058
2022,11,전라북도,34613
2022,11,대구광역시,29296
2022,11,광주광역시,22857
