년,월,체류자격,등록외국인 수
2022,01,문화예술D1,52
2022,01,유학D2,107853
2022,01,일반연수D4,50853
2022,01,종교D6,1345
2022,01,상사주재D7,983
2022,01,기업투자D8,5914
2022,01,무역경영D9,1987
2022,01,교수E1,1990
2022,01,회화지도E2,13164
2022,01,연구E3,3534
2022,01,기술지도E4,171
2022,01,전문직업E5,247
2022,01,예술흥행E6,3001
2022,01,특정활동E7,20574
2022,01,계절근로E8,295
2022,01,비전문취업E9,213265
2022,01,선원취업E10,17500
2022,01,방문동거F1,92724
2022,01,거주F2,42513
2022,01,동반F3,20741
2022,01,영주F5,168860
2022,01,결혼이민F6,132790
2022,01,방문취업H2,120540
2022,01,기타,69654
2022,02,문화예술D1,49
2022,02,유학D2,108004
2022,02,일반연수D4,48273
2022,02,종교D6,1334
2022,02,상사주재D7,967
2022,02,기업투자D8,5968
2022,02,무역경영D9,1997
2022,02,교수E1,2034
2022,02,회화지도E2,13257
2022,02,연구E3,3575
2022,02,기술지도E4,172
2022,02,전문직업E5,254
2022,02,예술흥행E6,3126
2022,02,특정활동E7,20735
2022,02,계절근로E8,293
2022,02,비전문취업E9,213921
2022,02,선원취업E10,17798
2022,02,방문동거F1,91182
2022,02,거주F2,42563
2022,02,동반F3,20927
2022,02,영주F5,169596
2022,02,결혼이민F6,133064
2022,02,방문취업H2,118064
2022,02,기타,69337
2022,03,문화예술D1,47
2022,03,유학D2,113817
2022,03,일반연수D4,47791
2022,03,종교D6,1323
2022,03,상사주재D7,960
2022,03,기업투자D8,6054
2022,03,무역경영D9,1969
2022,03,교수E1,2048
2022,03,회화지도E2,13164
2022,03,연구E3,3659
2022,03,기술지도E4,173
2022,03,전문직업E5,246
2022,03,예술흥행E6,3154
2022,03,특정활동E7,21108
2022,03,계절근로E8,279
2022,03,비전문취업E9,214348
2022,03,선원취업E10,17835
2022,03,방문동거F1,88916
2022,03,거주F2,42633
2022,03,동반F3,20948
2022,03,영주F5,170256
2022,03,결혼이민F6,133093
2022,03,방문취업H2,115946
2022,03,기타,70027
2022,04,문화예술D1,54
2022,04,유학D2,118706
2022,04,일반연수D4,51530
2022,04,종교D6,1345
2022,04,상사주재D7,974
2022,04,기업투자D8,6182
2022,04,무역경영D9,1991
2022,04,교수E1,2064
2022,04,회화지도E2,13526
2022,04,연구E3,3640
2022,04,기술지도E4,178
2022,04,전문직업E5,237
2022,04,예술흥행E6,3231
2022,04,특정활동E7,21759
2022,04,계절근로E8,295
2022,04,비전문취업E9,214463
2022,04,선원취업E10,17902
2022,04,방문동거F1,88144
2022,04,거주F2,42750
2022,04,동반F3,21362
2022,04,영주F5,170937
2022,04,결혼이민F6,133504
2022,04,방문취업H2,114693
2022,04,기타,69960
2022,05,문화예술D1,60
2022,05,유학D2,120055
2022,05,일반연수D4,51585
2022,05,종교D6,1352
2022,05,상사주재D7,1011
2022,05,기업투자D8,6294
2022,05,무역경영D9,2072
2022,05,교수E1,2065
2022,05,회화지도E2,13678
2022,05,연구E3,3675
2022,05,기술지도E4,184
2022,05,전문직업E5,235
2022,05,예술흥행E6,3232
2022,05,특정활동E7,22007
2022,05,계절근로E8,872
2022,05,비전문취업E9,216081
2022,05,선원취업E10,18024
2022,05,방문동거F1,88989
2022,05,거주F2,42980
2022,05,동반F3,21844
2022,05,영주F5,171638
2022,05,결혼이민F6,133751
2022,05,방문취업H2,113249
2022,05,기타,70271
2022,06,문화예술D1,56
2022,06,유학D2,118520
2022,06,일반연수D4,53050
2022,06,종교D6,1362
2022,06,상사주재D7,1023
2022,06,기업투자D8,6385
2022,06,무역경영D9,2071
2022,06,교수E1,2054
2022,06,회화지도E2,13715
2022,06,연구E3,3683
2022,06,기술지도E4,198
2022,06,전문직업E5,227
2022,06,예술흥행E6,3261
2022,06,특정활동E7,21950
2022,06,계절근로E8,2281
2022,06,비전문취업E9,216753
2022,06,선원취업E10,18421
2022,06,방문동거F1,90672
2022,06,거주F2,43288
2022,06,동반F3,22013
2022,06,영주F5,172310
2022,06,결혼이민F6,134026
2022,06,방문취업H2,111482
2022,06,기타,70899
2022,07,문화예술D1,52
2022,07,유학D2,116778
2022,07,일반연수D4,54791
2022,07,종교D6,1359
2022,07,상사주재D7,1038
2022,07,기업투자D8,6430
2022,07,무역경영D9,2093
2022,07,교수E1,2046
2022,07,회화지도E2,13723
2022,07,연구E3,3697
2022,07,기술지도E4,198
2022,07,전문직업E5,202
2022,07,예술흥행E6,3321
2022,07,특정활동E7,22362
2022,07,계절근로E8,3500
2022,07,비전문취업E9,218348
2022,07,선원취업E10,18788
2022,07,방문동거F1,92737
2022,07,거주F2,43508
2022,07,동반F3,22430
2022,07,영주F5,173173
2022,07,결혼이민F6,134425
2022,07,방문취업H2,109281
2022,07,기타,72115
