국  적,성별,0세~4세,5세~9세,10세~14세,15세~19세,20세~24세,25세~29세,30세~34세,35세~39세,40세~44세,45세~49세,50세~54세,55세~59세,60세~64세,65세~69세,70세~74세,75세~79세,80세이상
중      국,남,26884,21226,13683,38069,128974,216505,227497,180149,117899,114766,85866,87298,103417,51782,15928,2607,530
중      국,여,27175,21150,16171,78562,402301,577964,454218,241367,131281,131200,106376,95979,81836,32594,8013,2063,509
일      본,남,13754,13599,16618,34895,84299,77018,88188,103743,127931,138390,122338,95503,67316,59783,31927,14402,5970
일      본,여,13666,15773,36049,197193,379900,210989,151135,122568,133530,157366,146263,108679,73610,58571,28989,13064,6258
타  이  완,남,11521,16393,17244,17711,27794,39545,42032,46350,40353,33431,26519,21869,16216,11343,4900,2701,1159
타  이  완,여,11947,17017,24958,40804,89953,101838,93216,96510,77834,61333,49551,37256,26975,17165,7028,3713,1531
한국계 중국인,남,9361,6967,5775,10546,26218,60634,81882,63126,53740,66706,62409,57894,37116,18400,6255,2376,968
한국계 중국인,여,9486,6521,5849,10984,25813,59967,63500,41873,32300,47083,54396,51897,34476,17538,7789,4383,1758
홍      콩,남,5787,10575,8687,9889,17710,21677,21454,21083,21135,20938,21507,19275,12884,8361,3978,1649,915
홍      콩,여,6045,10815,12499,26593,49990,51469,43349,41619,42246,43141,41192,32598,20418,12111,5337,2183,1240
타      이,남,2556,3847,4878,6412,19674,27980,27484,24564,17937,13155,10043,7108,5272,2797,1080,432,151
타      이,여,2726,4314,7959,14797,48995,61898,52980,42397,28975,21502,16656,13583,9269,4708,1812,699,261
베  트  남,남,2795,4279,5051,11982,20192,34043,34770,23778,17872,14761,13353,12220,6926,3070,1188,464,147
베  트  남,여,2854,4520,6765,18036,35649,43754,34441,24581,21776,20455,20250,17802,9976,4499,1456,487,124
필  리  핀,남,2141,2872,3888,5478,14124,22970,21891,19294,15185,11899,9361,6543,3859,1887,872,332,143
필  리  핀,여,2236,3238,5499,9313,17846,25618,20386,16396,13195,12092,10321,8165,5966,3416,1646,703,329
말레이시아,남,4766,5300,6180,7972,15690,20136,17377,14906,12914,10886,8890,7836,5334,3050,1348,510,171
말레이시아,여,4791,5412,7786,12082,28447,33601,25318,20483,17713,15137,14461,12090,7737,4290,1867,758,247
인도네시아,남,1550,2449,3049,4523,13087,15866,13745,12082,9365,8291,5817,3834,2351,1516,684,265,72
인도네시아,여,1498,2550,4985,7217,12560,13749,11172,11041,9582,8802,7073,4985,3366,1940,904,379,134
싱 가 포 르,남,2507,3304,3780,4613,8099,9778,8748,9013,10079,9776,8189,6362,4124,2443,968,378,134
싱 가 포 르,여,2482,3398,5455,9394,16164,15476,10769,10520,11257,10721,9433,7377,5184,2919,1375,589,260
인      도,남,737,471,457,764,4858,10766,14001,12090,8949,6405,3828,2522,1402,703,279,95,39
인      도,여,718,481,459,549,1495,2938,2614,1737,1055,854,759,609,434,244,116,39,18
몽      골,남,1877,1497,1090,2813,4241,7205,8768,8287,7508,4968,3297,1909,939,361,203,68,24
몽      골,여,1964,1458,1195,2951,4397,8057,9390,8087,8253,6248,4963,3464,1508,635,326,135,53
우즈베키스탄,남,827,551,537,2996,9413,11960,12535,8889,5752,3061,1628,1243,706,305,64,28,3
우즈베키스탄,여,799,508,441,1170,2670,2947,3289,2893,2801,2159,1454,1600,1147,651,132,39,9
미  얀  마,남,47,62,91,680,5725,8312,6819,3964,2302,1332,872,468,163,92,52,9,3
미  얀  마,여,40,51,103,340,855,1147,836,570,482,428,372,252,121,87,33,5,2
카자흐스탄,남,821,567,571,1764,3864,3882,3706,2735,2113,1451,1097,852,594,399,135,73,11
카자흐스탄,여,771,541,687,1900,4278,4131,3282,2586,2325,1856,1530,1409,979,617,181,72,24
마  카  오,남,696,973,724,860,1466,2390,2257,1250,1260,989,917,872,746,471,220,60,24
마  카  오,여,672,1017,1068,2239,4710,6519,5486,3171,2729,2485,2132,1813,1263,687,295,63,25
캄 보 디 아,남,112,167,227,616,5503,7176,4206,2162,738,791,503,368,266,153,46,20,11
캄 보 디 아,여,134,178,276,657,3027,3051,1852,985,459,655,545,504,382,167,65,27,8
터      키,남,95,66,57,219,948,1701,2141,2373,1684,1290,805,525,329,183,85,32,26
터      키,여,69,68,148,468,1078,1143,788,654,412,366,340,334,258,144,89,26,6
