국적별,성별,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60-64세,65-69세,70-74세,75-79세,80세 이상
중국,남자,4327,7790,7637,6124,24136,29277,36917,27566,17823,13816,10735,10332,10462,8015,2627,717,177
중국,여자,4268,7698,7770,8593,52415,71800,69942,41144,22896,17831,15570,13168,10070,5967,2148,677,297
일본,남자,1144,1454,1685,3238,18464,14761,12071,13625,14683,17624,16247,13619,8648,5431,3811,1428,555
일본,여자,1065,1530,2942,17135,77815,44432,24816,19506,17062,20618,20893,16439,9973,5534,3270,1189,558
타이완(대만),남자,1043,4293,5227,3985,5618,5695,5512,6162,7474,6249,4687,3122,2049,1369,750,298,141
타이완(대만),여자,1129,4239,5652,6252,13189,12021,10563,11316,13119,9762,6996,4567,3189,2301,1018,412,211
한국계중국인,남자,6,520,589,502,1490,4105,9821,9748,9368,10989,10574,9914,6217,3221,1117,264,96
한국계중국인,여자,4,492,668,553,1573,3285,6531,5712,4352,5378,7215,7855,5186,2961,1177,379,201
홍콩,남자,439,2055,2297,1356,3037,3401,2855,2725,3168,3302,2918,2684,1793,999,586,171,87
홍콩,여자,427,1941,2481,2320,7017,6614,4795,4422,4940,4983,4108,3558,2247,1298,699,208,112
베트남,남자,323,651,819,2321,8641,6706,7096,5049,2601,2627,2787,2139,1163,388,103,25,8
베트남,여자,286,651,911,3785,14089,9662,7011,4508,3416,3676,3791,2805,1589,487,133,26,7
타이(태국),남자,304,607,581,592,1737,3770,3937,3645,2842,1750,1362,1054,822,550,202,61,29
타이(태국),여자,279,669,615,967,3968,7981,7466,6368,4508,2930,2309,1899,1344,808,291,105,32
말레이시아,남자,511,711,649,978,2204,2973,2532,1939,1441,1227,1149,1050,691,357,155,38,19
말레이시아,여자,504,686,695,1360,3667,4297,3197,2323,1767,1606,1516,1393,793,386,169,51,21
필리핀,남자,179,277,317,344,2320,6932,7221,6189,4960,3849,2421,1480,696,250,83,23,10
필리핀,여자,183,278,380,502,1455,3668,3680,2529,1811,1267,1123,915,660,363,157,53,20
싱가포르,남자,109,113,51,145,415,1035,1152,817,772,781,615,548,382,170,90,16,9
싱가포르,여자,106,113,73,357,915,1371,1182,756,663,631,571,486,363,168,70,16,17
인도네시아,남자,224,411,465,505,3149,5302,4898,4028,3190,2255,1352,732,339,217,94,30,11
인도네시아,여자,208,474,645,930,2297,2427,2486,2450,2082,1469,1209,719,455,240,95,34,18
몽골,남자,265,360,282,478,803,1117,1766,1628,1324,1063,590,397,196,77,48,24,7
몽골,여자,268,404,317,553,1162,1312,1835,1590,1351,1119,814,613,396,153,85,42,28
인도,남자,142,138,67,49,1070,2994,3766,2895,2007,1247,740,400,211,62,22,11,7
인도,여자,159,116,65,48,193,552,527,326,173,99,67,35,38,13,11,2,0
우즈베키스탄,남자,156,119,108,249,1689,2182,2323,1836,1215,675,361,235,139,65,19,5,0
우즈베키스탄,여자,147,116,107,151,553,639,720,687,555,499,329,262,238,134,48,11,4
마카오,남자,45,222,170,98,221,232,246,214,181,187,122,105,93,62,37,9,3
마카오,여자,40,198,182,189,533,497,483,385,260,293,203,136,130,82,41,15,3
카자흐스탄,남자,123,142,109,205,696,691,696,663,493,336,210,166,132,83,31,9,8
카자흐스탄,여자,149,117,100,220,830,786,682,534,523,387,308,253,204,114,55,9,6
캄보디아,남자,26,69,76,70,1078,2708,1729,872,311,218,201,124,98,44,20,4,2
캄보디아,여자,49,84,84,105,707,1201,832,456,199,224,214,169,135,56,27,8,1
미얀마,남자,4,8,6,37,1423,4006,4263,3149,1913,1078,630,232,76,9,3,2,0
미얀마,여자,7,7,4,36,257,269,162,73,54,40,28,18,9,3,2,0,0
네팔,남자,17,10,4,69,988,1655,1480,761,328,98,52,24,11,6,2,3,1
네팔,여자,18,11,1,53,317,251,167,92,46,29,35,14,11,7,2,1,1
터키,남자,13,11,17,17,134,253,302,340,300,199,122,69,39,14,1,0,2
터키,여자,6,16,11,42,229,199,98,63,36,28,25,14,10,3,2,0,0
